title,mall
앙드레 끌루에 상파뉴 실버 브뤼 1500ml,emart
앙드레 끌루에 상파뉴 브뤼 그랑 리저브 1500ml,emart
루이자도 마르사네 루즈 2013,emart
"샤또 데스클랑, 위스퍼링 엔젤 2018",emart
앙드레 끌루에 상파뉴 브뤼 그랑 리저브 375ml,emart
쿠네 리오하 크리안자 2016,emart
도멘 다흐나 부르고뉴 블랑 라 쥐말리 2015,emart
멀티 베스트 존 2015,emart
알베르 비쇼 마콩 빌라쥐 2017,emart
운두라가 띨띠움 오리지날,emart
시즌스 비달 아이스바인 375ml 2017,emart
페렐라다 3 핀케스 2014,emart
마투아 와인메이커스 릴리즈 소비뇽블랑 2018,emart
샤또 드 벨시에 2010,emart
샤또 드 벨시에 2009,emart
샤또 드 벨시에 2008,emart
인디고 아이즈 샤도네이 2018,emart
데 마르티노 347 빈야즈 까르메네르 2016,emart
데 마르티노 347 빈야즈 까베르네 소비뇽 2017,emart
로젠와이져 아이스바인 375ml 2014,emart
로젠와이져 아이스바인 375ml 2012,emart
레이크뷰 비달 아이스와인 375ml 2016,emart
코노수르 싱글빈야드 리슬링 2018,emart
샤또 시고냑 1997,emart
샤또 데 푸제르 라 폴리 2010,emart
샤또 데 푸제르 라 폴리 2009,emart
코노수르 싱글빈야드 메를로 2018,emart
코노수르 싱글빈야드 까르미네르 2018,emart
몽제아 뮈네레 르 리베르탱 부르고뉴 빠쓰뚜그랭 2015,emart
루이자도 부르고뉴 알리고떼 2018,emart
르 리쉬 샤도네이 2016,emart
핀까엘 오리엔 그란 리제르바 말벡 2016,emart
브리갈다라 소아베 2018,emart
물랭 드 사르프 2006,emart
페데리코 파테니나 크리안자 매그넘 2016,emart
테를란 게부르츠트라미너 2018,emart
이 기갈 꼬뜨 뒤 론 루즈 2016,emart
알리칸토 그랑 리저브 카베르네 소비뇽 2017,emart
테를란 피노 비앙코 2017,emart
코노수르 싱글빈야드 샤도네이 2018,emart
마투아 말보로 소비뇽 블랑 2018,emart
마투아 말보로 피노 누아 2018,emart
롱 클라우드 리저브 말보로 소비뇽 블랑 2018,emart
루이자도 마꽁 빌라쥬 2018,emart
칸티 모스카토 다스티 골드 에디션,emart
디아블로 데블스 콜렉션 2017,emart
샤또 베이작 2015,emart
코노 피노누아 2016,emart
로스 바스코스 까베르네 소비뇽 그랑 뀌베 20 2017,emart
플라네타 로제 2017,emart
이기갈 생 조셉 레드 375ml 2015,emart
689 화이트 나파 밸리 2017,emart
에스페라 까베르네 소비뇽 2017,emart
리히터 에스테이트 리슬링 2017,emart
에스탕동 헤리티지 2018,emart
도멘 로랑 미켈 생소 시라 로제 2018,emart
스칼리올라 지오코 피오레,emart
스칼리올라 프리모 피오레 모스카토 다스티,emart
칠카스 리제르바 카베르네 소비뇽 2017,emart
돔 리슬링 프루티 2017,emart
돔 리슬링 드라이 2018,emart
바롱 레스탁 보르도 블랑 2017,emart
바롱 레스탁 보르도 루즈 2018,emart
리히터 뮬하이머 소넨라이 리슬링 제페린라벨 2016,emart
로스 바스코스 까베르네 소비뇽 스페샬 셀랙션 2016,emart
로스 바스코스 샤도네이 2019,emart
페데리코 파테르니나 크리안자 2016,emart
페데리코 파테르니나 라 로하 크리안자 2015,emart
퀸 오브 몽페라 레드 2012,emart
데 마르티노 이스테이트 까르메네르 2017,emart
데 마르티노 이스테이트 까베르네 소비뇽 2018,emart
그래블리 포드 피노누아 2017,emart
그래블리 포드 샤르도네 2017,emart
그래블리 포드 카베르네소비뇽 2017,emart
도멘 로랑 미켈 클래식 로제 2018,emart
"투썩 점퍼, ‘래빗’ 모스카토 2018",emart
콜럼비아 크레스트 투바인 샤도네이 2016,emart
페데리코 파테니나 레세르바 2017,emart
루이자도 샤블리 375 ML 2018,emart
알리브리안자 420 프리미티보 살렌토 2017,emart
알리브리안자 420 프리미티보 메를로 2017,emart
알리브리안자 420 살리체 살렌티노 2017,emart
알리브리안자 420 네그로아마로 살렌토 2017,emart
디아블로 레드 블랜드 2017,emart
알파카 소비뇽 블랑 2019,emart
버톨리 키안티 2016,emart
페데리코 파테니나 오로 크리안자 2015,emart
라피트 보르도 레드 2017,emart
운두라가 리제르바 까르미네르 2017,emart
숩송 드 프뤼 로제 드 루아르 2018,emart
숩송 드 프뤼 까베르네 당주 2018,emart
벤띠스꾸에로 리제르바 쇼비뇽 블랑 2018,emart
운드라가 스파클링 브뤼,emart
루이자도 부르고뉴 피노누아 375 ML 2017,emart
루이자도 부르고뉴 샤도네이 375 ML 2017,emart
에스탕동 그리 2018,emart
에스탕동 인솔랑스 2018,emart
에라주리즈 에스테이트 카르메네르 2018,emart
페데리코 파테니나 까바 로제,emart
또레빌라 제니지아 모스까또 2018,emart
또레빌라 모스까또 2018,emart
페데리코 파테니나 까바 브뤼,emart
알파카 카르메네르 2019,emart
뵈브 엘리즈 블랑 드 블랑,emart
핀까엘 오리엔 샤도네이 2015,emart
핀까엘 오리엔 말벡 2017,emart
코노수르 1551 메를로 2018,emart
레 자멜 쉬라 2016,emart
레 자멜 소비뇽 블랑 2017,emart
레 자멜 샤르도네 2017,emart
레 자멜 메를로 2017,emart
레 자멜 까베르네 소비뇽 2016,emart
이 기갈 꼬뜨 뒤 론 블랑 375ml 2018,emart
이 기갈 꼬뜨 뒤 론 루즈 375ml 2016,emart
미스팅게 브뤼,emart
미스팅게 로제,emart
핀까엘 오리엔 까베르네 소비뇽 2017,emart
까르타 비에하 까르미네르 2019,emart
운두라가 메를로 2018,emart
운두라가 U 샤도네이 2015,emart
운드라가 U 까버네쇼비뇽 2018,emart
스칼리올라 돌체스바고 모스토,emart
미안더 슈냉블랑 2019,emart
로제 뒤 마담,emart
디아블로 카베르네 소비뇽 2018,emart
디아블로 카르메네르 2018,emart
디아블로 샤르도네 2018,emart
운두라가 U 샤도네이 375ml 2015,emart
운두라가 브뤼 375ml,emart
운두라가 U 까베르네 소비뇽 375ml 2018,emart
비비드 샤도네이 2018,emart
로쉐 마제 샤르도네 2018,emart
"고세, 엑설렁스 엑스트라 브뤼",emart
"고세, 그랑 리저브 브뤼",emart
"쉬에르 다르크, 버블 넘버원 프리미엄 2015",emart
"쉬에르 다르크, 버블 넘버원 로제",emart
들라스 꼬뜨 뒤 론 레드 ‘생 떼스프리’ 2017,emart
샤또 라 피에리에 2016,emart
샤또 시상 그랑 리저브 2017,emart
패트리셔스 토카이 아쑤 6 푸토뇨스 2008,emart
보데가스 까레 크리안자 2016,emart
보데가스 까레 화이트 블렌드 2017,emart
비냐 에기아 크리안자 2016,emart
"레알 꼼빠니아, 가르나차 2017",emart
"레알 꼼빠니아, 뗌쁘라니요 2018",emart
"레알 꼼빠니아, 블랑코 2018",emart
"보데가스 무가, 리제르바 셀렉시옹 에스페시알 2014",emart
"보데가스 무가, 블랑코 2017",emart
"우마니 론끼, 요리오 매그넘 2016",emart
"알도 콘떼르노, 바롤로 치칼라 2015",emart
"알도 콘떼르노, 바롤로 꼴로넬로 2015",emart
발레벨보 브라께또,emart
펠 샤도네이 2017,emart
마르께스 데 몬떼 메루 그랑 레세르바 2013,emart
랑메일 밸리 플로우 쉬라즈 2016 2017,emart
에이 바이 아카시아 샤르도네 2016,emart
로즈마운트 다이아몬드 라벨 까베르네 소비뇽 2018,emart
로즈마운트 다이아몬드 라벨 쉬라즈 2018,emart
로즈마운트 블렌드 까베르네 메를로 2017,emart
펄리셔 펜카로우 샤도네이 2017,emart
펄리셔 피노누아 2018,emart
더그레이프 그라인더 슈냉블랑 2019,emart
더그레이프 그라인더 피노타쥐 2017,emart
알타비스타 프리미엄 까베르네 소비뇽 2017,emart
알타비스타 프리미엄 말벡 2018,emart
알타비스타 레드 블렌드 2017,emart
알타비스타 비베 또론떼스 2018,emart
알타비스타 비베 까베르네 소비뇽 2018,emart
알타비스타 비베 말벡 2019,emart
끌로 뒤 발 샤르도네 2017,emart
블랙 스탈리온 배럴 리저브 까베르네쇼비뇽 2013,emart
블랙 스탈리온 샤르도네 2018,emart
"델리카토, 337 까베르네 소비뇽 2016",emart
"델리카토, 날리헤드 비오니에 2018",emart
"델리카토, 날리 헤드 까베르네 소비뇽 2017",emart
"라포스톨, 달라멜 레세르바 소비뇽 블랑 2017",emart
"라포스톨, 달라멜 레세르바 샤르도네 2017",emart
"라포스톨, 달라멜 레세르바 까르메네르 2016",emart
"라포스톨, 달라멜 레세르바 카베르네 소비뇽 2017",emart
"라포스톨, 그랑 셀렉션 카베르네 소비뇽 2015",emart
"얄리, 프리미엄 릴리즈 언오크드 샤르도네 2018",emart
"얄리, 와인메이커스 초이스 메를로 2017",emart
"얄리, 플러스 리미티드 릴리즈 2016",emart
"얄리, 레세르바 소비뇽 블랑 2018",emart
"얄리, 와일드 스완 소비뇽 블랑 2019",emart
"얄리, 와일드 스완 메를로 2018",emart
슈미트 숀 – 돈펠더 라인헤센 2017,emart
오스본 루비 포트,emart
오스본 토니 포트,emart
프레시넷 꼬든네그로브뤼 매그넘,emart
프레시넷 노타 모나스트렐 크리안자 2015,emart
꼬든네그로브뤼,emart
토마시 포지오 알 투포 롬피콜로 2016,emart
타스카 달메리타 레갈레알리 네로다볼라 2017,emart
카포 자페라노 프리미티보 디 만두리아 2017,emart
카포 자페라노 프리미티보 IGT 2017,emart
미켈레 끼아를로 로에로 아르네이스 레 마드리 2018,emart
미켈레 끼아를로 모스까또 다스띠 니볼레 2018,emart
미켈레 끼아를로 모스까또 다스띠 팔라스 2018,emart
만텔라시 산 쥬세페 2016,emart
간치아 브라께또 다뀌 2014,emart
간치아 아스띠 스푸만떼 2014,emart
까사 데프라 발폴리첼라 리빠소 2016,emart
슐로스 폴라즈 에디션 2018,emart
슐로스 폴라즈 볼라츠 2018,emart
피치니 히에론 까베르네 소비뇽 2015,emart
피치니 프로세코 엑스트라 드라이,emart
피치니 파트리알레,emart
피치니 오리지네스 이탈리케 프리미티보 2018,emart
피치니 오리지네스 이탈리케 아파시멘토 2018,emart
피치니 오리지네스 이탈리케 네로 다볼라 2018,emart
피치니 메모로 화이트 375ml,emart
피치니 메모로 화이트,emart
피치니 메모로 로사토 375ml,emart
피치니 네로 다블라 시실리 2015,emart
피치니 끼안띠 클라시코 375ml 2016,emart
피치니 끼안띠 리제르바 콜레지오네 오로 2016,emart
피치니 끼안띠 리제르바 꼴레지오네 오로 매그넘 2016,emart
피치니 끼안띠 375ml 2017,emart
피치니 끼안띠 2017,emart
피치니 그랑 프루넬로,emart
까르피네토 도가졸로 로쏘 매그넘 2016,emart
까르피네토 도가졸로 로쏘 2016,emart
까르피네토 도가졸로 로쏘 375㎖ 2016,emart
디킨 까베르네 소비뇽 2018,emart
"실버 고스트, ‘싱글 빈야드’ 카베르네 소비뇽 2016",emart
세븐 폴스 카베르네 소비뇽 2015,emart
엠 샤푸티에 라 시부아즈 뤼브롱 트래디션 2017,emart
엠 샤푸티에 라 시부아즈 꼬스띠에 드 님 2017,emart
깔베 메독 2017,emart
깔베 꼬뜨 드 론 2017,emart
"산 페드로, 티에라스 모라다스 2017",emart
"콘차이토로, 프론테라 까르미네르 2018",emart
"콘차이토로, 프론테라 까베르네 소비뇽 2019",emart
유니온 38 그란 레세르바 샤르도네 2018,emart
유니온 38 그란 레세르바 까베르네 소비뇽 2017,emart
1865 싱글빈야드 까르미네르 2017,emart
1865 싱글빈야드 샤르도네 2017,emart
35 사우스 레세르바 메를로 2018,emart
35 사우스 레세르바 까베르네 소비뇽 2018,emart
아미고 메를로 2018,emart
가또 네그로 세미 스위트 레드 2018,emart
9 라이브스 리저브 카베르네 소비뇽 2018,emart
9 라이브스 리저브 카르미네르 2018,emart
펜폴즈 티에노 샴페인,emart
펜폴즈 로손 리트리트 쉬라즈 카베르네 2018,emart
펜폴즈 로손 리트리트 쉬라즈 2017,emart
펜폴즈 로손 리트리트 카베르네 소비뇽 2018,emart
"브라운 브라더스, 모스까또&소비뇽 블랑 2019",emart
"브라운 브라더스, 모스까또 2019",emart
"브라운 브라더스, 에버톤 화이트 2018",emart
"브라운 브라더스, 에버톤 레드 2015",emart
파즈 말벡 2017,emart
파즈 시라 2016,emart
핀카 라스 모라스 레세르바 샤르도네 2018,emart
핀카 라스 모라스 레세르바 까베르네-시라 2018,emart
뱀버그 라 린테르나 샤르도네 엘 토미요 2015,emart
뱀버그 라 린테르나 말벡 라 예스카 2013,emart
뱀버그 라 린테르나 말벡 엘 토미요 2013,emart
핀카 라스 팔마스 까베르네 소비뇽 2016,emart
트라피체 브로켈 까베르네 소비뇽 2017,emart
트라피체 브로켈 말벡 2018,emart
트라피체 오크캐스크 까베르네 소비뇽 2018,emart
아스띠까 까베르네 소비뇽 2019,emart
트라피체 메달라 까베르네 소비뇽 2015,emart
트라피체 메달라 말벡 2016,emart
트라피체 폰 데 카브 2014,emart
트라피체 그란 메달라 말벡 2015,emart
트라피체 그란 메달라 까베르네 소비뇽 2015,emart
트라피체 까베르네 소비뇽 2018,emart
트라피체 핀카 엘 밀라그로 리미티드 에디션 2013,emart
베어풋 까베르네쇼비뇽 2019,emart
콘 크릭 나파밸리 까베르네쇼비뇽 2015,emart
메나쥬 아 트로와 미드나잇 레드 2018,emart
메나쥬 아 트로와 실크 레드 2018,emart
아이러니 나파밸리 카버네쇼비뇽 2016,emart
에라스 피노 누아 2017,emart
콘 크릭 진판델 2015,emart
라 크레마 몬테레이 피노누아 2016,emart
"코퍼 케인, 보엔 피노 누아 2018",emart
"코퍼 케인, 보엔 러시안 리버 밸리 피노 누아 2018",emart
"코퍼 케인, 보엔 샤르도네 2017",emart
델리카토 날리헤드 1924 버번 배럴 까베르네 쇼비뇽 2017,emart
"델리카토, 181 메를로 2017",emart
"델리카토, 블랙스탈리온 샤르도네 2018",emart
"테넌트, 컨버트 2016",emart
안티카 나파 밸리 샤르도네 2018,emart
캔달잭슨 그랑 리저브 샤르도네 2017,emart
트럼프 카베르네 소비뇽 2015,emart
트럼프 샤르도네 2016,emart
트럼프 메리티지 2015,emart
트럼프 블랑 드 블랑,emart
노스스타 컬럼비아밸리 메를로 2013,emart
노스스타 왈라왈라밸리 레드블랜드 2014,emart
에라스 리랜드 피노 누아 2016,emart
베린저 루미너스 샤도네이 2015,emart
베린저 퀀텀 나파밸리 2013,emart
로버트 몬다비 프라이빗 셀렉션 2017,emart
로버트 몬다비 나파벨리 까버네쇼비뇽 2017,emart
도멘 생 미셸 브뤼 NV,emart
"샤또 생 미셸, 콜드 크릭 카베르네 소비뇽 2014",emart
"샤또 생 미쉘, 아티스트 시리즈 2014",emart
스프링 밸리 프레드릭 2014,emart
나파누크 2011,emart
테네트 GSM 2015,emart
라미 울지 로드 빈야드 샤르도네 2015,emart
비엔 나시도 샤르도네 2015,emart
비엔 나시도 피노누아 2014,emart
도멘 서린 이븐스테드 리져브 샤르도네 2016,emart
도멘 서린 이븐스테드 리져브 피노누아 2015,emart
조셉펠프스 나파 까베르네소비뇽 2015,emart
콜 솔라레 까베르네쇼비뇽 2015,emart
보페레 윌라멧 밸리 2013,emart
보페레 보페레 빈야드 2013,emart
보페레 보페레 빈야드 2011,emart
도멘 커리 나파밸리 카버네쇼비뇽 2016,emart
필립 토그니 나파밸리 카베르네 소비뇽 2016,emart
지디 와인즈 샤도네이 2017,emart
지디 와인즈 까베르네 소비뇽 2016,emart
지디 와인즈 까베르네 소비뇽 리저브 2015,emart
시부미놀 샤도네이 아트레이블 2015,emart
시부미놀 피노누아 아트레이블 2015,emart
시부미놀 나파벨리 까버네쇼비뇽 아트레이블 2010,emart
부커 더원 리저브 아트레이블 2016,emart
카타 벡스토퍼 본 빈야드 2016,emart
알파 오메가 ERA 2016,emart
블랑키에트 리브 드로이트 2015,emart
블랑키에트 에스테이트 프로 프라이어테리 2015,emart
에이슬 빈야드 알타그라시아 까베르네 소비뇽 2015,emart
에이슬 빈야드 까베르네 소비뇽 2015,emart
베티나 나파밸리 2016,emart
DB4 나파밸리 레드 와인 2016,emart
아방트 레드블랜드 2013,emart
더 페데럴리스트 샤르도네 2017,emart
더 페데럴리스트 어니스트 레드 블랜드 2015,emart
아발론 카베르네소비뇽 2017,emart
라 크레마 소노마 코스트 샤르도네 2016,emart
월터 헨젤 ‘뀌베 앨리스’ 피노 누아 2016,emart
보글 팬텀 샤도네이 2018,emart
"월터 핸젤, 뀌베 엘리스 피노누아 2017",emart
1000 스토리즈 버번 베럴 에이지드 까베르네 쇼비뇽 2017,emart
텍스트북 배럴 티프 까베르네쇼비뇽 2017,emart
나파 바이 나파 레드블렌드 2017,emart
세인트 존스 로드 피스 오브 에덴 리슬링 2017,emart
쌩 클레어 오마카 리저브 샤도네이 2017,emart
랜스버로우 빈야드 피레네 샤르도네 2018,emart
셰이 플랫 빈야드 피레네 쉬라즈 2013,emart
세레신 이스테이트 모모 2016,emart
패트리샤 샤르도네 2017,emart
패트리샤 쉬라즈 2015,emart
패트리샤 카베르네 소비뇽 2015,emart
다렌버그 데드 암 쉬라즈 2016,emart
바렛 리져브 피노누아 2004,emart
글래쳐 왈라스 쉬라즈 그르나슈 2017,emart
글래쳐 비숍 쉬라즈 2017,emart
글래쳐 아나페르나 쉬라즈 까베르네 2016,emart
킬리카눈 코버넌트 쉬라즈 2014,emart
마운트 메리 빈야드 퀸테트 2016,emart
울프블라스 골드라벨 쉬라즈 2018,emart
울프블라스 블랙라벨 까베르네 쉬라 2016,emart
랑메일 쓰리 가든즈 GSM 2018,emart
랑메일 블랙스미스 카버네쇼비뇽 2017,emart
랑메일 밸리 플로우 쉬라즈 2017,emart
랑메일 더 프리덤 1843 쉬라즈 2015,emart
펜폴즈 쿠능가 힐 어텀 리슬링 2018,emart
펜폴즈 빈 407 카베르네 소비뇽 2017,emart
펜폴즈 생 헨리 쉬라즈 2016,emart
린드만 빈65 샤르도네 2019,emart
양가라 지에스엠 2016,emart
펜폴즈 쿠능가 힐 샤도네이 2018,emart
끌로드 까잘 꺄르뜨 오 흐,emart
앙드레 끌루에 드림 빈티지 2013,emart
앙드레 끌루에 드림 빈티지 2012,emart
앙드레 끌루에 드림 빈티지 2009,emart
앙드레 끌루에 드림 빈티지 2006,emart
앙드레 끌루에 브뤼 나뛰드 실버 매그넘,emart
샤를르 드 까자노브 밀레짐 2007,emart
"도츠, 브뤼 클라식",emart
빌 마흐 그랑 리저브 브륏,emart
"고세, 그랑 로제 샴페인잔 패키지 2019",emart
"고세, 그랑 리저브 브륏",emart
폴로져 로제 빈티지 2012,emart
폴로져 샹파뉴 브뤼 리저브 매그넘,emart
"도츠, 아무르 도츠 2010",emart
파이퍼하이직 뀌베브뤼,emart
루 뒤몽 크레망 드 부르고뉴 로제,emart
도멘 베레 크레망 드 부르고뉴,emart
샤를 도떼일 브뤼,emart
폴로져 브뤼 리저브,emart
시모네 페브르 크레망 드 부르고뉴 브뤼,emart
델라모뜨 브뤼,emart
도츠 브뤼,emart
샤를르 드 까자노브 브뤼,emart
앙드레 끌루에 상파뉴 실버 브뤼,emart
디아블로 데블스 브뤼 2015,emart
프레시넷 꼬든 네그로 까바 브뤼,emart
운드라가 띠띠윰 스파클링 오리지날,emart
운드라가 로제 브뤼,emart
골든 버블 모스카토 NV,emart
비알레또로소,emart
엠 로제,emart
모스카토 다스티 모란도 2018,emart
마르케제 안티노리 뀌베 로얄,emart
칸티나 테를란 피노 비앙코 2019,emart
피치니 메모로 빈티지 2015,emart
톨라이니 끼안티 클라시코 2016,emart
"토마시, 포지오 알 투포 마레스코",emart
"마시, 깜포피오린 2016",emart
까스띨리옹 델 보스코 로쏘 디 몬탈치노 375ml 2015,emart
톨라이니 알 파쏘 토스카나 2014,emart
토마시 아렐레 로쏘 2016,emart
미켈레 끼아를로 가비 레 마르네 2018,emart
산 펠리체 일그리지오 끼안티클라시코리세르바 2015,emart
"라포데리나, 로쏘 디 몬탈치노 2018",emart
타스칸테 부오노라 2018,emart
타스카 달메리타 시그너스 2016,emart
미켈레 끼아를로 랑게 네비올로 일 프린시페 2016,emart
까사 데프라 아마로네 델라 발폴리첼라 2014,emart
까스텔로 로미또리오 로쏘 디 몬탈치노 2016,emart
리바 레오네 바롤로 2014,emart
"파소피시아로, 파소 로쏘 2016",emart
산 펠리체 깜포지오 반니 브루넬로 디 몬탈치노 2014,emart
까스텔로 로미또리오 브루넬로 디 몬탈치노 2015,emart
"라포데리나, 브루넬로 디 몬탈치노 2014",emart
"비비 그라츠, 테스타마타 2015",emart
산테로 프로세코 엑스트라 드라이,emart
프루노토 바롤로 2015,emart
레디가피 2017,emart
"피오 체사레, 바롤로 2014",emart
뛰느방 배드 보이 시라 2016,emart
도멘 A.로렌 그랑크뤼 키흐리베르크 드 바 클로 지서 모노폴 그랑크뤼 2016,emart
엠 샤푸티에 꼬뜨 뒤 론 루즈 2017,emart
앙드레 부르넬 도멘 드 라 베카손느 2017,emart
뱅상 르구 오뜨 꼬뜨 드 뉘 루즈 레 보 몽 뤼소 2016,emart
도멘 베레 부르고뉴 알리고떼 2017,emart
라로쉬-샤블리 생마르땡 2018,emart
도멘 루이 르캥 상트네 프리미에 크뤼 르 파스 땜 2008,emart
호프만 자이에 오뜨 꼬뜨 드 본 블랑 2017,emart
호프만 자이에 오뜨 꼬뜨 드 뉘 루즈 2017,emart
도멘 다흐나 뫼르소 끌로 뒤 도멘 2017,emart
도멘 다흐나 뫼르소 프리미에크뤼 끌로 리치몬 모노폴 2017,emart
흐무와스네 뉘 생 조르쥬 프리미에 크뤼 레 다모드 2013,emart
루이자도 끌로 라 로쉬 그랑크뤼 2015,emart
샤또 아네토 2014,emart
샤또 시트랑 2013,emart
샤또 드 프레샥 2016,emart
샤또 포리 드 수샤르 2013,emart
샤또 라뚜르 마르띠약 2016,emart
샤또 뒤크뤼 보까이유 2012,emart
빠비용 루즈 뒤 샤또 마고 2016,emart
샤또 기봉 레드 2016,emart
무똥 까데 화이트 2018,emart
트림바크 게브르츠트라미너 2015,emart
두르뜨 그랑 떼루아 쏘떼른 2017,emart
샤또 뻬이 라 뚜르 리져브 보르도 수페리에르 2015,emart
이 기갈 꼬뜨 뒤 론 블랑 2016,emart
프레데릭 마니앙 쥐브리 샹베르땡 비에유 비뉴 2017,emart
프레데릭 마니앙 모레 생 드니 프리미에 크뤼 끌로 소르베 2017,emart
프레데릭 마니앙 본 로마네 비에유 비뉴 2017,emart
루이자도 꼬르똥 그랑크뤼 푸제 2016,emart
샤를 라쇼 볼네이 프리미에 크뤼 레 상트노 2018,emart
샤또 올리비에 블랑 2014,emart
미켈레 끼아를로 모스카토 다스티 니볼레,emart
반피 로사리갈 2018,emart
알레그리니 발폴리첼라 2017,emart
트라피체 브로켈 말벡 2017,emart
핀카엘 오리엔 그란 리제르바 말벡 2014,emart
트라피체 이스까이 말벡 까베르네 프랑 2016,emart
마르께스 데 까사 콘차 피노누아 2016,emart
마르께스 데 까사 콘차 까르미네르 2016,emart
마르께스 데 까사 콘차 에티케타 네그라 2017,emart
마르께스 데 까사 콘차 까베르네 소비뇽 2016,emart
라포스톨 넘버 세븐 2018,emart
쿠지노마쿨 안티구아스 리제르바 샤도네이 2016,emart
쿠지노마쿨 안티구아스 리제르바 까베르네쇼비뇽 2016,emart
멀티 베스트 셀렉션 2015,emart
라포스톨 리미티드 블랙에디션 2015,emart
라포스톨 셀렉션 레드 블렌드 2015,emart
라포스톨 그랑셀렉션 쇼비뇽블랑 2015,emart
라포스톨 그랑셀렉션 메를로 2015,emart
라포스톨 달라멜 리제르바 까베르네쇼비뇽 2017,emart
라포스톨 달라멜 쇼비뇽블랑 2018,emart
라포스톨 달라멜 리제르바 까르미네르 2015,emart
라포스톨 달라멜 리제르바 쇼비뇽블랑 2018,emart
라포스톨 달라멜 메를로 2018,emart
라포스톨 달라멜 까베르네쇼비뇽 2018,emart
산타리타 메달야레알 까르미네르 2017,emart
산타리타 메달야레알 까베르네 소비뇽 2016,emart
